name;price;volatility;drift
AAL;65,61722916;0,304586023;0,035947694
AAPL;98,30328658;0,473615925;0,866604733
AAP;86,73311737;0,115386282;0,267498638
ABBV;67,83517503;0,675094011;0,007692689
ABC;91,94643011;0,469810113;0,452391685
ABT;23,4499763;0,990782727;0,51849458
ACN;27,11379287;0,892178904;0,738900632
ADBE;23,07366306;0,896102771;0,529593397
ADI;22,12919551;0,00556583;0,003110791
ADM;4,43264441;0,980702156;0,63941846
ADP;65,19410618;0,339613838;0,058313227
ADSK;27,59168163;0,06692557;0,67589027
ADS;49,20131477;0,099220063;0,154932198
AEE;53,12116539;0,671887308;0,494252502
AEP;71,79277291;0,791489104;0,001208774
AES;23,24047966;0,70374016;0,638376887
AET;23,13513232;0,20490177;0,628997588
AFL;49,10779367;0,948654316;0,514380169
AGN;60,3422785;0,851085158;0,998573818
AIG;69,11200879;0,513849739;0,069602154
AIV;57,30746178;0,011275129;0,943243378
AIZ;80,4968285;0,767149631;0,77296173
AJG;36,50602576;0,714321159;0,287947104
AKAM;62,19787621;0,590257692;0,034458728
ALB;31,35402197;0,940345448;0,858143037
ALGN;26,07516213;0,891842398;0,55254486
ALK;81,68279683;0,126895853;0,278393262
ALLE;72,66488656;0,902548284;0,592309532
ALL;15,97708695;0,76485216;0,717667221
ALXN;54,64096015;0,948581503;0,842903431
AMAT;76,91411429;0,863840223;0,011292644
AMD;99,33230432;0,343226672;0,10176264
AME;53,94526031;0,014518256;0,171368665
AMGN;8,168215763;0,152282064;0,064175106
AMG;67,00187038;0,95570501;0,22076392
AMP;65,26254201;0,166965626;0,844716558
AMT;50,16501721;0,182228805;0,285400043
AMZN;20,22379191;0,218254341;0,321784863
ANDV;84,42391359;0,875657486;0,069095913
ANSS;88,79866277;0,695705707;0,06281225
ANTM;3,887631079;0,605891514;0,454513564
AON;87,55699426;0,436991257;0,90554516
AOS;67,44317103;0,816928335;0,394494048
APA;90,58273371;0,58100245;0,111510106
APC;66,46922688;0,936861942;0,456212211
APD;8,92917812;0,135575735;0,1822459
APH;45,87525712;0,111081871;0,142931213
APTV;44,27957993;0,364532133;0,830538007
ARE;67,0983867;0,240831256;0,147772994
ARNC;0,968757269;0,523950849;0,955025813
ATVI;17,04168174;0,106969842;0,794703019
AVB;97,16444716;0,496014834;0,780122099
AVGO;63,85419369;0,940479338;0,779708198
AVY;7,12430481;0,537445925;0,4695781
AWK;47,50621338;0,992826208;0,494820162
AXP;36,71645286;0,989263491;0,312933595
AYI;37,9071382;0,344743837;0,308670178
AZO;78,02080632;0,588123464;0,296489375
A;72,60325924;0,911841506;0,858921978
BAC;44,55056871;0,436857345;0,19809054
BAX;74,07326087;0,938867171;0,175149246
BA;10,17235388;0,92062307;0,468315624
BBT;43,05245672;0,384842165;0,031040221
BBY;34,39954811;0,727390697;0,599007657
BDX;88,39645281;0,412697697;0,305526066
BEN;78,6850297;0,170029925;0,502943922
BF.B;96,22882681;0,003446438;0,198807981
BHF;0,287711566;0,912206819;0,72197064
BHGE;33,80043192;0,368152149;0,321021949
BIIB;1,360968802;0,505045117;0,522515473
BK;36,84917546;0,851480626;0,183239397
BLK;67,95091617;0,311969594;0,951449742
BLL;26,45374017;0,473412362;0,697341449
BMY;97,03322363;0,335461111;0,773172957
BRK.B;15,80701263;0,692208345;0,389684641
BSX;83,78438125;0,91492676;0,600597734
BWA;52,25908896;0,041132128;0,941302522
BXP;56,50513653;0,06124746;0,965874016
CAG;87,78483633;0,210343996;0,853544537
CAH;38,55386085;0,6006195;0,656131465
CAT;18,2855003;0,834255206;0,647605268
CA;18,03028618;0,440735711;0,231525813
CBG;55,15690493;0,158511801;0,503976535
CBOE;69,1180812;0,48382032;0,107305055
CBS;59,91891606;0,798591372;0,681039073
CB;1,853808773;0,945021853;0,024426706
CCI;55,26963888;0,111682461;0,986585674
CCL;30,73793629;0,034550168;0,686563387
CDNS;94,99352969;0,821485449;0,01911089
CELG;10,53704225;0,154445744;0,525666915
CERN;49,39459356;0,090899944;0,63060338
CFG;15,23968407;0,451692608;0,100232348
CF;35,55421573;0,424277402;0,195738857
CHD;23,68148084;0,818087298;0,386594352
CHK;37,82055394;0,111994707;0,780974119
CHRW;40,30618567;0,428121913;0,653118125
CHTR;68,60252611;0,744587646;0,826924835
CINF;28,158939;0,840093165;0,065518821
CI;31,75526397;0,229896812;0,74880276
CLX;91,51890479;0,322631856;0,840655999
CL;2,754355653;0,873504312;0,664603779
CMA;84,88543113;0,963602875;0,76456667
CMCSA;41,51925747;0,212325284;0,880935487
CME;27,60997611;0,881756623;0,739114225
CMG;22,7961965;0,479878765;0,920387631
CMI;21,24751671;0,613707761;0,555774152
CMS;29,73597372;0,548821113;0,572486641
CNC;39,72111688;0,374946292;0,309168385
CNP;99,69037579;0,908993624;0,971918414
COF;6,38761827;0,29024775;0,738071645
COG;70,76055284;0,540225793;0,767755551
COL;16,92719767;0,814369359;0,637262177
COO;80,21067052;0,599847393;0,606915251
COP;17,58703376;0,10033669;0,850004539
COST;68,746693;0,798914592;0,687578616
COTY;37,01912069;0,515621404;0,106461532
CPB;8,345488994;0,23563546;0,704986414
CRM;47,1827672;0,912521521;0,60339033
CSCO;59,8037697;0,652405885;0,87946494
CSRA;31,00751319;0,055712086;0,887451696
CSX;2,56995829;0,501449029;0,612661266
CTAS;0,822216335;0,961228081;0,484895677
CTL;6,580497558;0,283047803;0,870735933
CTSH;30,09846849;0,000476688;0,77410484
CTXS;40,66290902;0,610760793;0,302095383
CVS;80,07365026;0,46030491;0,181240546
CVX;43,50630428;0,621319315;0,648694281
CXO;27,1474349;0,79781733;0,615846838
C;31,33073153;0,115503668;0,747914447
DAL;70,33855569;0,692594695;0,232253276
DE;65,79925507;0,312052478;0,085715771
DFS;78,41481107;0,413387098;0,573375151
DGX;2,051687812;0,749836957;0,540923151
DG;92,80487643;0,503937971;0,847864321
DHI;69,95521021;0,954157532;0,193452004
DHR;40,59851133;0,484635217;0,871231947
